title,description,file size and date,additional keywords,link,derived_link
Movement for Autonomous ,"['The Movement for Autonomous ', 'Democracy', '–Party for Moravia and Silesia (Czech: Hnutí za samosprávnou demokracii–Společnost pro Moravu a Slezsko, HSD–SMS)...']","['5 KB (308 words) - 14:04, 12 February 2021']",[],/wiki/Movement_for_Autonomous_Democracy%E2%80%93Party_for_Moravia_and_Silesia,/wiki/Concertation_of_Parties_for_Democracy
Union for ,"['The Union for ', 'Democracy', ' (UD) is a Saint Martin political party founded in 2011 by Daniel Gibbs. ""Election territoriale à Saint Martin\xa0: Louis Mussington...']","['2 KB (45 words) - 07:54, 30 September 2022']",[],/wiki/Union_for_Democracy_(Saint_Martin),/wiki/Concertation_of_Parties_for_Democracy
Social ,"['The Social ', 'Democracy', ' party (Italian: Democrazia Sociale) was a radical and social-liberal political party in Italy. The Social ', 'Democracy', ' party was formed...']","['4 KB (225 words) - 14:51, 25 February 2023']",[],/wiki/Social_Democracy_(Italy),/wiki/Concertation_of_Parties_for_Democracy
Popular Front for ,"['The Popular Front for ', 'Democracy', ' (Sotho: Khoeetsa ea Sechaba) is a political party in Lesotho. At the elections for the National Assembly, 25 May 2002...']","['4 KB (152 words) - 21:33, 26 October 2023']",[],/wiki/Popular_Front_for_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Golden Liberty,"[""Lithuanian: Auksinė laisvė), sometimes referred to as Golden Freedoms, Nobles' "", 'Democracy', "" or Nobles' Commonwealth (Polish: Rzeczpospolita Szlachecka or Złota wolność...""]","['19 KB (2,253 words) - 15:44, 10 October 2023']","['(redirect from ', ""Noble's "", 'Democracy', ')']",/wiki/Golden_Liberty,/wiki/Concertation_of_Parties_for_Democracy
Minister for ,"['The Minister for ', 'Democracy', ' (Swedish: Demokratiministern) is a cabinet minister within the Swedish Government and appointed by the Prime Minister of Sweden...']","['8 KB (58 words) - 16:56, 30 October 2022']",[],/wiki/Minister_for_Democracy_(Sweden),/wiki/Concertation_of_Parties_for_Democracy
World Forum for ,"['The World Forum for ', 'Democracy', ' is a gathering each November in Strasbourg, France to debate the complex challenges facing ', 'democracies', ' today and foster democratic...']","['24 KB (3,061 words) - 00:18, 8 July 2023']",[],/wiki/World_Forum_for_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Gabonese Union for ,"['The Gabonese Union for ', 'Democracy', ' and Development (French: Union gabonaise pour la démocratie et le développement, UGDD) was a political party in Gabon...']","['3 KB (276 words) - 19:22, 8 March 2023']",[],/wiki/Gabonese_Union_for_Democracy_and_Development,/wiki/Concertation_of_Parties_for_Democracy
World Movement for ,"['World Movement for ', 'Democracy', ' is an international network of individuals and organizations who share the common goal of promoting ', 'democracy', '. The World Movement...']","['3 KB (353 words) - 05:59, 20 June 2022']",[],/wiki/World_Movement_for_Democracy,/wiki/Concertation_of_Parties_for_Democracy
2006 People's Party for Freedom and ,"['Party for Freedom and ', 'Democracy', "" leadership election was called to elect the new Leader of the People's Party for Freedom and "", 'Democracy', ' after incumbent Jozias...']","['9 KB (775 words) - 22:38, 12 July 2023']",[],/wiki/2006_People%27s_Party_for_Freedom_and_Democracy_leadership_election,/wiki/Concertation_of_Parties_for_Democracy
Direct ,"['Oregon is one of the many states in the United States that has direct ', 'democracy', ' in the form of initiatives and referendums. Oregon residents introduced...']","['4 KB (504 words) - 08:57, 16 August 2023']",[],/wiki/Direct_democracy_in_Oregon,/wiki/Concertation_of_Parties_for_Democracy
Democracy,"['Democracy', ' Watch, established in 1993, is a Canadian organization that advocates on democratic reform, government accountability and corporate responsibility...']","['7 KB (642 words) - 12:39, 26 February 2023']",[],/wiki/Democracy_Watch_(Canada),/wiki/Concertation_of_Parties_for_Democracy
Organizational Questions of the Russian Social ,"['Organizational Questions of the Russian Social ', 'Democracy', ', later republished as Leninism or Marxism?, is a 1904 pamphlet by Rosa Luxemburg, a Marxist living...']","['7 KB (773 words) - 19:38, 26 July 2022']",[],/wiki/Organizational_Questions_of_the_Russian_Social_Democracy,/wiki/Concertation_of_Parties_for_Democracy
International Foundation for Electoral Systems,"['promoting ', 'democracy', '. IFES was established along with other United States federal-government-funded organizations claiming to focus on ', 'democracy', ' promotion...']","['18 KB (1,555 words) - 17:35, 23 August 2023']","['(redirect from ', 'The Center for ', 'Democracy', ')']",/wiki/International_Foundation_for_Electoral_Systems,/wiki/Concertation_of_Parties_for_Democracy
Democratic republic,"['and a ', 'democracy', '. As a cross between two similar systems, democratic republics may function on principles shared by both republics and ', 'democracies', '. While...']","['9 KB (970 words) - 21:45, 12 October 2023']","['(redirect from ', 'Republican ', 'democracy', ')']",/wiki/Democratic_republic,/wiki/Concertation_of_Parties_for_Democracy
2006 Nepalese revolution,"['The 2006 ', 'Democracy', ' Movement (Nepali: लोकतन्त्र आन्दोलन, romanized:\xa0Loktantra Āndolan) is a name given to the political agitations against the direct rule...']","['10 KB (858 words) - 14:12, 11 September 2023']","['(redirect from ', '2006 ', 'Democracy', ' movement in Nepal', ')']",/wiki/2006_Nepalese_revolution,/wiki/Concertation_of_Parties_for_Democracy
Christian ,"['ˌʐɛtʂɨpɔsˈpɔlʲitɛj ˈpɔlskʲɛj]; abbreviated ChD III RP or ChDRP; English: Christian ', 'Democracy', ' of the 3rd Polish Republic) is a Polish political party that was created...']","['1 KB (77 words) - 18:30, 1 April 2023']",[],/wiki/Christian_Democracy_of_the_3rd_Polish_Republic,/wiki/Concertation_of_Parties_for_Democracy
Energy ,"['Energy ', 'democracy', ' is a concept developed within the environmental justice movement that pairs the renewable energy transition with efforts to democratize...']","['10 KB (1,043 words) - 21:42, 8 November 2023']",[],/wiki/Energy_democracy,/wiki/Concertation_of_Parties_for_Democracy
Gender ,"['Gender ', 'democracy', ' is a normative idea related to gender mainstreaming. Its aim is to achieve democratic conditions between men and women within society...']","['12 KB (1,364 words) - 06:44, 15 March 2023']",[],/wiki/Gender_democracy,/wiki/Concertation_of_Parties_for_Democracy
European ,"['European ', 'Democracy', ' (Italian: Democrazia Europea, DE) was a minor Christian-democratic, centrist political party in Italy. European ', 'Democracy', ' was founded...']","['4 KB (224 words) - 13:15, 17 June 2022']",[],/wiki/European_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Direct Action and ,"['Direct Action and ', 'Democracy', ' Today is a 2005 book by April Carter. In the book, Carter debates the nature and meaning of social and political protest and...']","['1 KB (136 words) - 22:17, 31 October 2023']",[],/wiki/Direct_Action_and_Democracy_Today,/wiki/Concertation_of_Parties_for_Democracy
League for ,"['The League for ', 'Democracy', ' Party (LDP; Khmer: គណបក្សសម្ព័ន្ធដើម្បីប្រជាធិបតេយ្យ) is a Cambodian political party which was formed on 15 July 2005. The party...']","['9 KB (766 words) - 00:06, 30 September 2022']",[],/wiki/League_for_Democracy_Party,/wiki/Concertation_of_Parties_for_Democracy
Electronic ,"['Electronic ', 'Democracy', ' Party (Turkish: Elektronik Demokrasi Partisi, abbreviated EDP, eP or e-Parti) is a political party in Turkey which advocates e-', 'Democracy', ' and...']","['2 KB (145 words) - 17:31, 29 October 2022']",[],/wiki/Electronic_Democracy_Party,/wiki/Concertation_of_Parties_for_Democracy
Hacking ,"['Hacking ', 'Democracy', ' is a 2006 Emmy nominated documentary film broadcast on HBO and created by producer / directors Russell Michaels and Simon Ardizzone...']","['18 KB (1,833 words) - 18:24, 23 July 2023']",[],/wiki/Hacking_Democracy,/wiki/Concertation_of_Parties_for_Democracy
National Union for ,"['National Union for ', 'Democracy', ' and Progress can refer to: National Union for ', 'Democracy', ' and Progress (Benin) National Union for ', 'Democracy', ' and Progress (Cameroon)...']","['402 bytes (87 words) - 14:54, 22 April 2016']",[],/wiki/National_Union_for_Democracy_and_Progress,/wiki/Concertation_of_Parties_for_Democracy
Property-owning ,"['A property-owning ', 'democracy', ' is a social system whereby state institutions enable a fair distribution of productive property across the populace generally...']","['19 KB (2,325 words) - 09:14, 17 October 2023']",[],/wiki/Property-owning_democracy,/wiki/Concertation_of_Parties_for_Democracy
National Council for the Defense of ,"['The National Council for the Defense of ', 'Democracy', ' (French: Conseil National Pour la Défense de la Démocratie, CNDD) is a political party in Burundi. The...']","['6 KB (375 words) - 07:04, 9 October 2022']",[],/wiki/National_Council_for_the_Defense_of_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Liberal ,"['Liberal ', 'Democracy', ' (French: Démocratie Libérale, DL) was a conservative-liberal political party in France existing between 1997 and 2002. Headed by Alain...']","['12 KB (1,156 words) - 22:45, 15 September 2023']",[],/wiki/Liberal_Democracy_(France),/wiki/Concertation_of_Parties_for_Democracy
"Committee on Social Inclusion, Participative ","['The UCLG Committee on Social Inclusion, Participatory ', 'Democracy', ' and Human Rights is one of the four Committees of the United Cities and Local Governments...']","['22 KB (2,817 words) - 15:10, 10 October 2022']",[],"/wiki/Committee_on_Social_Inclusion,_Participative_Democracy_and_Human_Rights",/wiki/Concertation_of_Parties_for_Democracy
Democratic development in Hong Kong,"['also become focal points for the pro-', 'democracy', ' camp. Historically, Hong Kong has never been an electoral ', 'democracy', '. Later attempts to bring Hongkongers...']","['84 KB (9,325 words) - 10:44, 27 October 2023']","['(redirect from ', 'Democracy', ' in Hong Kong', ')']",/wiki/Democratic_development_in_Hong_Kong,/wiki/Concertation_of_Parties_for_Democracy
Alliance for Representative ,"['Alliance for Representative ', 'Democracy', ' is an USA based organization that is a partnership between the Trust for Representative ', 'Democracy', ' at the National Conference...']","['10 KB (785 words) - 20:43, 17 September 2023']",[],/wiki/Alliance_for_Representative_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Movement for ,"['The Movement for ', 'Democracy', ' (Portuguese: Movimento para a Democracia, MpD) is a Christian democratic and liberal party in Cape Verde. Established in 1990...']","['8 KB (499 words) - 02:33, 21 January 2022']",[],/wiki/Movement_for_Democracy_(Cape_Verde),/wiki/Concertation_of_Parties_for_Democracy
Proletarian ,"['Proletarian ', 'Democracy', ' (Italian: Democrazia Proletaria, DP) was a far-left political party in Italy. DP was founded in 1975 as a joint electoral front...']","['10 KB (516 words) - 14:37, 6 October 2023']",[],/wiki/Proletarian_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Union for ,"['The Union for ', 'Democracy', ' and the Republic (French: Union pour la Démocratie et la République-Mwinda) is a political party in the Republic of the Congo...']","['5 KB (445 words) - 04:26, 4 December 2021']",[],/wiki/Union_for_Democracy_and_the_Republic_(Republic_of_the_Congo),/wiki/Concertation_of_Parties_for_Democracy
Democracy,"['Democracy', ' Docket is a liberal-leaning voting rights and media platform that tracks election litigation. It was founded in 2020 by lawyer Marc Elias and...']","['7 KB (600 words) - 11:56, 2 November 2023']",[],/wiki/Democracy_Docket,/wiki/Concertation_of_Parties_for_Democracy
Anocracy,"['Anocracy, or semi-', 'democracy', ', is a form of government that is loosely defined as part ', 'democracy', ' and part dictatorship, or as a ""regime that mixes democratic...']","['59 KB (6,222 words) - 17:16, 27 October 2023']","['(redirect from ', 'Semi-', 'democracy', ')']",/wiki/Anocracy,/wiki/Concertation_of_Parties_for_Democracy
Salvadoran ,"['Salvadoran ', 'Democracy', ' (Spanish: Democracia Salvadoreña, abbreviated DS) is a Salvadoran political party. Salvadoran ', 'Democracy', ' was registered with the Supreme...']","['5 KB (111 words) - 22:42, 15 September 2023']",[],/wiki/Salvadoran_Democracy,/wiki/Concertation_of_Parties_for_Democracy
Union for the Republic and ,"['The Union for the Republic and ', 'Democracy', ' (French: Union pour la République et la Démocratie, URD) is a political party in Mali, led by Soumaïla Cissé...']","['4 KB (297 words) - 14:41, 27 July 2023']",[],/wiki/Union_for_the_Republic_and_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Union for ,"['The Union for ', 'Democracy', ' and the Republic (French: Union pour la Démocratie et la République-Mwinda) is a political party in the Republic of the Congo...']","['5 KB (445 words) - 04:26, 4 December 2021']",[],/wiki/Union_for_Democracy_and_the_Republic_(Republic_of_the_Congo),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Bloc for ,"['The Bloc for ', 'Democracy', "" and African Integration (French: Bloc pour la démocratie et l'intégration africaine) was a political party in Mali. The party was...""]","['1 KB (97 words) - 09:38, 9 March 2023']",[],/wiki/Bloc_for_Democracy_and_African_Integration,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
National initiative,"['proponents as the National Initiative for ', 'Democracy', ' (and later renamed National Citizens Initiative for ', 'Democracy', ' in 2012), gathered endorsements from author...']","['23 KB (2,991 words) - 18:58, 15 August 2023']","['(redirect from ', 'THE NATIONAL BALLOT INITIATIVE FOR ', 'DEMOCRACY', ')']",/wiki/National_initiative,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Anocracy,"['Anocracy, or semi-', 'democracy', ', is a form of government that is loosely defined as part ', 'democracy', ' and part dictatorship, or as a ""regime that mixes democratic...']","['59 KB (6,222 words) - 17:16, 27 October 2023']","['(redirect from ', 'Semi-', 'democracy', ')']",/wiki/Anocracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
"Dignity, ","['The Dignity, ', 'Democracy', ', Motherland (Armenian: Արժանապատվություն, ժողովրդավարություն, հայրենիք) was a nationalist political alliance in Armenia. The alliance...']","['3 KB (222 words) - 22:06, 3 September 2022']",[],"/wiki/Dignity,_Democracy,_Motherland",/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Campaign for Social ,"['The Campaign for Social ', 'Democracy', ' was a minor political party which ran candidates in the February 1974 United Kingdom general election. The party was...']","['3 KB (205 words) - 08:39, 3 May 2022']",[],/wiki/Campaign_for_Social_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democracy,"['Democracy', ' and Education: An Introduction to the Philosophy of Education is a 1916 book by John Dewey. In ', 'Democracy', ' and Education, Dewey argues that the...']","['7 KB (842 words) - 00:40, 7 May 2023']",[],/wiki/Democracy_and_Education,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
America (The Book),"[""America (The Book): A Citizen's Guide to "", 'Democracy', ' Inaction is a 2004 humor book written by Jon Stewart and other writers of The Daily Show that parodies...']","['11 KB (1,038 words) - 19:11, 30 July 2023']","['(redirect from ', 'America Guide to ', 'Democracy', ' Inaction', ')']",/wiki/America_(The_Book),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Path of ,"['Path of ', 'Democracy', ' (Chinese: 民主思路) is a political group and think tank established in 2015 in Hong Kong. It is led by former Civic Party legislator Ronny...']","['8 KB (742 words) - 08:29, 20 October 2023']",[],/wiki/Path_of_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
What Is ,"['What Is ', 'Democracy', '? is a 2018 documentary film written and directed by Astra Taylor. The documentary blends everyday experience and political theory to...']","['10 KB (832 words) - 01:59, 22 February 2023']",[],/wiki/What_Is_Democracy%3F,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Liberals of Serbia,"['reconstituted itself as Movement for Serbia – New ', 'Democracy', '. The party was renamed to just New ', 'Democracy', ' in March 1993. In the 1993 election, when the Socialist...']","['7 KB (397 words) - 10:31, 7 August 2023']","['(redirect from ', 'New ', 'Democracy', ' (Yugoslavia)', ')']",/wiki/Liberals_of_Serbia,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democracy,"['The ', 'Democracy', ' Time Party is a political party founded by Mehmet Ali Şenel on 9 May 2016. The short name of the party is DEZA-PAR The party was first established...']","['3 KB (262 words) - 19:40, 27 September 2023']",[],/wiki/Democracy_Time_Party,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Elections in Cuba,"['of ', 'democracy', '. If Government is of people and democratic, people can be consulted, as we are doing here. What is more an example of pure ', 'democracy', ' than...']","['38 KB (4,169 words) - 07:31, 11 July 2023']","['(redirect from ', 'Cuba and ', 'democracy', ')']",/wiki/Elections_in_Cuba,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
National Union for ,"['The National Union for ', 'Democracy', ' and Progress (Portuguese: União Nacional para a Democracia e Progresso) is a political party in São Tomé and Príncipe...']","['1 KB (106 words) - 15:56, 16 September 2019']",[],/wiki/National_Union_for_Democracy_and_Progress_(S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
The French ,"['The French ', 'Democracy', "" is a 2005 English-language French short political film made by Alex Chan using computer animation from Lionhead Studios' 2005 business...""]","['24 KB (2,301 words) - 13:55, 18 October 2023']",[],/wiki/The_French_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Japanese American Committee for ,"['The Japanese American Committee for ', 'Democracy', ' (JACD, Japanese: 日米民主委員会, Nichibei Minshu Iinkai) was an organization during and after World War II. The...']","['4 KB (490 words) - 06:24, 10 August 2023']",[],/wiki/Japanese_American_Committee_for_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
New ,"['New ', 'Democracy', ' (French: Nouvelle démocratie) was a political party in Canada founded by William Duncan Herridge in 1939. Herridge, a former Conservative...']","['2 KB (155 words) - 03:22, 5 August 2022']",[],/wiki/New_Democracy_(Canada),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Union National ,"['The Union National ', 'Democracy', ' Party (UNDP) was a political party in Myanmar. The UNDP was formed on 16 December 1988 by Aung Gyi after he left the National...']","['1 KB (115 words) - 17:02, 30 June 2019']",[],/wiki/Union_National_Democracy_Party,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democracy,"['Democracy', ' Day is a national public holiday in Nigeria to commemorate the restoration of ', 'democracy', ' in 1999, commemorated on 12 June. Until 2018, it was...']","['4 KB (448 words) - 20:32, 30 June 2023']",[],/wiki/Democracy_Day_(Nigeria),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Singaporeans for ,"['Singaporeans for ', 'Democracy', ' (SfD) was a Singapore based human rights non-governmental organization formed in 2010 by activist-academic Dr James Gomez and...']","['6 KB (561 words) - 05:17, 23 May 2023']",[],/wiki/Singaporeans_for_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Union for ,"['The Union for ', 'Democracy', ' and the Republic (French: Union pour la Démocratie et la République-Tabbat, UDR-Tabbat) is a political party in Niger. Its founding...']","['4 KB (486 words) - 11:42, 11 July 2023']",[],/wiki/Union_for_Democracy_and_the_Republic_(Niger),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
"Old Parliament House, Canberra","['May 2009, the Executive Agency was renamed as the Museum of Australian ', 'Democracy', ' at Old Parliament House (MoAD), reporting to the Special Minister of State...']","['45 KB (4,574 words) - 14:45, 3 November 2023']","['(redirect from ', 'Museum of Australian ', 'Democracy', ')']","/wiki/Old_Parliament_House,_Canberra",/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
"Capitalism, Socialism and ","['Capitalism, Socialism, and ', 'Democracy', ' is a book on economics, sociology, and history by Joseph Schumpeter, arguably his most famous, controversial, and...']","['13 KB (1,507 words) - 14:09, 19 October 2023']",[],"/wiki/Capitalism,_Socialism_and_Democracy",/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
League for Industrial ,"['The League for Industrial ', 'Democracy', ' (LID) was founded as a successor to the Intercollegiate Socialist Society in 1921. Members decided to change its name...']","['8 KB (924 words) - 17:36, 9 October 2023']",[],/wiki/League_for_Industrial_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
The Center for ,"['The Center for ', 'Democracy', ' and Human Rights in Saudi Arabia (CDHR) is a United States based non-profit organization established to promote transformation...']","['21 KB (2,663 words) - 11:57, 23 November 2021']",[],/wiki/The_Center_for_Democracy_and_Human_Rights_in_Saudi_Arabia,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
To Kill a ,"['To Kill a ', 'Democracy', "": India's Passage to Despotism is a book authored by Debasish Roy Chowdhury and John Keane, published by Oxford University Press in...""]","['15 KB (1,416 words) - 19:38, 7 June 2023']",[],/wiki/To_Kill_a_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
New Front for ,"['The New Front for ', 'Democracy', ' and Development (Dutch: Nieuw Front voor Democratie en Ontwikkeling) was a social-democratic political alliance in Suriname...']","['3 KB (98 words) - 21:25, 23 January 2022']",[],/wiki/New_Front_for_Democracy_and_Development,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Strong ,"['Strong ', 'Democracy', ': Participatory Politics for a New Age by Benjamin R. Barber was published by the University of California Press in 1984 and republished...']","['5 KB (638 words) - 19:27, 2 September 2023']",[],/wiki/Strong_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
The Edge of ,"['The Edge of ', 'Democracy', ' (Portuguese: Democracia em Vertigem) is a 2019 Brazilian documentary film directed by Petra Costa. The film follows the political...']","['56 KB (5,166 words) - 18:16, 27 September 2023']",[],/wiki/The_Edge_of_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
New ,"['New ', 'Democracy', ' (Swedish: Ny Demokrati, NyD) was a political party in Sweden. It was founded in 1991 and elected into the Riksdag in the 1991 Swedish general...']","['23 KB (2,316 words) - 11:57, 17 March 2023']",[],/wiki/New_Democracy_(Sweden),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Torturing ,"['Torturing ', 'Democracy', ' is a 2008 documentary film produced by Washington Media Associates. The film details the use of torture by the Bush administration...']","['6 KB (594 words) - 10:05, 9 October 2023']",[],/wiki/Torturing_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Lesotho Congress for ,"['The Lesotho Congress for ', 'Democracy', ' (LCD) is a political party in Lesotho. In 1997, Prime Minister Ntsu Mokhehle left the Basutoland Congress Party to...']","['5 KB (214 words) - 10:51, 21 October 2022']",[],/wiki/Lesotho_Congress_for_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Congolese Solidarity for ,"['Congolese Solidarity for ', 'Democracy', ' (Solidarité Congolaise pour la Démocratie - SCODE) is a political party in the Democratic Republic of the Congo. It...']","['2 KB (189 words) - 08:57, 9 March 2023']",[],/wiki/Congolese_Solidarity_for_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Federation of Christian ,"['Christian ', 'Democracy', ' of Castile Basque Christian ', 'Democracy', ' Murcian Christian ', 'Democracy', ' Western Christian ', 'Democracy', ' Aragonese Christian ', 'Democracy', ' Andalusian...']","['3 KB (239 words) - 08:48, 12 February 2023']",[],/wiki/Federation_of_Christian_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Union of Forces for ,"['The Union of Forces for ', 'Democracy', ' and Development–Fundamental (UFDD–F) is one of the rebel groups fighting in the war in Chad. It is led by Abdelwahid...']","['1 KB (67 words) - 23:02, 25 September 2023']",[],/wiki/Union_of_Forces_for_Democracy_and_Development%E2%80%93Fundamental,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democracy,"['Democracy', ' is a 1984 novel by the American author Joan Didion. Set in Hawaii and Southeast Asia at the end of the Vietnam War, the book tells the story...']","['6 KB (604 words) - 16:04, 15 October 2023']",[],/wiki/Democracy_(novel),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democracy,"['The ', 'Democracy', "" and Workers' Rights Center (DWRC) is a Palestinian non-governmental, non-profit organization, not affiliated with any political party. DWRC...""]","['6 KB (602 words) - 05:01, 9 October 2023']",[],/wiki/Democracy_and_Workers%27_Rights_Center,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Civic Alliance for ,"['The Civic Alliance for ', 'Democracy', ' in Europe (Alliance Citoyenne pour la Démocratie en Europe, ACDE) is a liberal political party in France. It was launched...']","['2 KB (182 words) - 06:21, 15 September 2023']",[],/wiki/Civic_Alliance_for_Democracy_in_Europe,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Democratic consolidation,"['Democratic consolidation is the process by which a new ', 'democracy', ' matures, in a way that it becomes unlikely to revert to authoritarianism without an external...']","['13 KB (1,595 words) - 00:55, 29 October 2023']","['(redirect from ', 'Consolidated ', 'democracy', ')']",/wiki/Democratic_consolidation,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Identity and ,"['The Identity and ', 'Democracy', ' Party (French: Parti Identité et Démocratie; Italian: Partito Identità e Democrazia; German: Identität und Demokratie Partei)...']","['34 KB (2,442 words) - 20:01, 21 October 2023']",[],/wiki/Identity_and_Democracy_Party,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
National ,"['The National ', 'Democracy', ' (Democrazia Nazionale, DN) party was a spin-off of the Italian Social Movement, after the electoral defeat of 1976. It was born...']","['2 KB (103 words) - 23:16, 5 January 2023']",[],/wiki/National_Democracy_(Italy),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Patriotic Union for ,"['The Patriotic Union for ', 'Democracy', ' and Progress (Union Patriotique pour la Démocratie et le Progrès, UPDP) is a political party in the Republic of the...']","['1 KB (155 words) - 19:38, 15 December 2020']",[],/wiki/Patriotic_Union_for_Democracy_and_Progress,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
People's Multiparty ,"[""Communism portal Nepal portal People's Multiparty "", 'Democracy', ' (जनताको बहुदलिय जनबाद, abbreviated जबज) refers to the ideological line of the Communist Party...']","['5 KB (384 words) - 18:08, 18 March 2023']",[],/wiki/People%27s_Multiparty_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Alliance for True ,"['The Alliance for True ', 'Democracy', ' was a coalition of the pan-democrats to fight for full universal suffrage in Hong Kong. It was formed on 21 March 2013...']","['10 KB (465 words) - 19:34, 4 November 2023']",[],/wiki/Alliance_for_True_Democracy,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
New ,"['New ', 'Democracy', ' is a stage of development in Maoism. New ', 'Democracy', ' may also refer to: New ', 'Democracy', ' (Andorra) New ', 'Democracy', ' (Canada), a defunct political...']","['1 KB (158 words) - 16:56, 7 August 2023']",[],/wiki/New_Democracy_(disambiguation),/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
"Atomium – European Institute for Science, Media and ","['Atomium – European Institute for Science, Media and ', 'Democracy', ' (EISMD) is an international non-profit organisation based in Brussels. The Institute convenes...']","['18 KB (1,427 words) - 13:41, 11 September 2023']",[],"/wiki/Atomium_%E2%80%93_European_Institute_for_Science,_Media_and_Democracy",/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
Citizens' Movement for ,"[""The Citizens' Movement for "", 'Democracy', ' and Development (French: Mouvement Citoyen pour la Démocratie et le Développement, MCD) is a political party in Togo...']","['2 KB (147 words) - 18:17, 15 December 2020']",[],/wiki/Citizens%27_Movement_for_Democracy_and_Development,/wiki/THE_NATIONAL_BALLOT_INITIATIVE_FOR_DEMOCRACY
